Age,Annual_Income,Total_Debt,Credit_History_Years,Payment_History,Loan_Count,Credit_Utilization_Percent,Late_Payments,Employment_Years,Savings,Number_of_Credit_Cards,Creditworthy
52,1384680,242030,11,Average,7,16.5,1,1,901356,3,No
26,1047964,143382,22,Poor,3,67.0,3,8,394014,2,No
37,1104220,458593,10,Good,6,69.5,1,19,679047,4,No
47,1183171,333827,9,Average,1,38.8,1,26,362096,6,No
64,472575,72564,18,Average,2,43.4,0,29,12179,4,Yes
44,994038,227979,14,Good,3,58.8,3,26,69652,6,No
58,292782,122150,2,Poor,0,13.3,0,1,234078,4,No
21,623945,464228,25,Excellent,4,40.9,3,3,87182,3,Yes
64,1764735,1052619,7,Good,3,6.4,2,14,517649,1,Yes
25,188036,112598,18,Poor,4,28.3,4,4,58216,5,No
23,1382939,961557,3,Average,3,71.3,1,5,316161,0,No
44,1779024,335794,19,Poor,7,67.7,2,10,657627,0,No
59,1059979,665031,22,Excellent,2,22.4,2,27,786523,6,Yes
46,1699603,784937,21,Average,2,53.1,0,1,285153,0,No
44,1760461,1315993,22,Good,0,43.5,0,26,874434,0,Yes
63,1718510,484552,5,Excellent,0,57.3,2,11,76141,6,No
60,1270547,533023,18,Poor,3,60.4,1,0,83791,1,No
46,411496,154572,1,Excellent,4,54.1,2,4,144184,2,No
53,871211,423245,12,Good,6,24.3,0,2,564408,1,Yes
64,671862,441317,27,Good,7,46.4,0,22,48028,1,Yes
52,934950,394590,21,Average,0,59.9,2,21,596311,2,Yes
45,899449,411752,20,Good,7,85.0,2,27,547652,2,Yes
35,1144918,565710,29,Good,3,41.3,1,17,217736,3,Yes
24,1596828,89214,20,Good,5,50.3,1,6,652392,5,No
40,647835,170436,24,Good,7,84.4,3,17,83735,1,No
54,772632,289275,17,Good,3,79.3,3,17,536471,6,No
52,794661,24995,5,Good,6,51.9,0,26,286034,3,No
32,547003,374025,20,Poor,0,13.2,3,14,235702,3,Yes
48,1577556,271813,30,Good,6,83.5,1,5,410375,2,Yes
53,1416180,584826,2,Average,4,31.1,2,24,664517,4,No
29,1535833,600651,19,Excellent,2,24.8,3,11,104176,4,Yes
28,1450893,775683,3,Average,4,30.7,2,10,892887,1,No
59,1657852,1136214,18,Poor,0,42.7,2,28,558900,4,Yes
52,1528711,988182,30,Good,4,71.5,1,15,399184,1,Yes
36,1799715,1073163,29,Good,3,88.5,5,13,810322,6,No
40,893936,431016,30,Average,7,50.4,0,22,417259,5,Yes
57,414386,279772,9,Average,5,69.8,1,12,269236,3,No
53,800399,133010,30,Excellent,3,47.3,1,5,154884,1,Yes
59,735655,468730,1,Excellent,7,81.2,2,2,422052,5,No
65,1559904,1165883,24,Good,7,17.4,0,3,961126,3,Yes
25,1729107,1055115,30,Excellent,7,49.7,3,7,527632,1,Yes
39,1791935,552573,21,Good,7,54.4,2,9,98726,5,No
26,917266,543022,17,Excellent,0,68.0,4,8,98211,2,No
45,1159448,139606,25,Good,0,63.8,3,1,584204,5,Yes
55,978022,148961,24,Average,5,52.2,1,25,65595,6,Yes
32,882436,370434,16,Average,1,12.2,1,0,482087,0,Yes
40,1162599,46345,30,Excellent,4,23.6,3,3,858180,4,Yes
39,1530642,1008816,8,Good,1,76.3,3,14,335191,2,No
53,960641,141432,28,Good,3,27.8,2,7,74245,2,Yes
21,1407146,323712,13,Good,4,79.1,2,3,899351,5,No
38,1620434,115252,7,Average,5,60.3,1,20,600591,0,No
33,1698500,364932,11,Excellent,2,75.9,1,12,55269,5,No
45,296492,124328,10,Average,2,28.1,3,25,123934,4,Yes
39,907506,541698,16,Average,0,50.1,1,9,432957,5,Yes
28,1636168,905331,13,Average,4,61.4,2,10,285010,2,No
54,1049807,612000,12,Poor,5,92.5,0,17,44555,5,No
25,1345898,847430,26,Excellent,1,30.9,5,7,356575,2,Yes
65,917565,412144,2,Excellent,6,69.5,1,6,597415,3,No
22,640385,76109,26,Average,7,69.7,3,4,161876,1,No
35,818387,561655,17,Good,7,29.7,2,17,514322,6,Yes
60,874780,356068,3,Average,5,14.0,2,14,126910,1,No
54,1086295,500965,14,Average,3,81.2,3,13,590602,6,No
54,1255230,60766,21,Good,4,27.1,1,2,66648,4,Yes
57,1235675,824994,26,Average,3,89.8,3,18,693153,5,No
43,1474929,790416,26,Poor,2,14.7,1,9,77743,5,Yes
50,873221,582351,22,Good,0,67.7,3,22,111113,2,Yes
62,437324,70884,17,Good,1,40.2,1,7,168771,6,No
60,1115772,301478,17,Good,3,44.9,1,1,194293,1,Yes
22,601280,219830,12,Excellent,1,58.2,2,4,315579,1,No
25,1308678,407296,3,Average,1,21.8,2,1,992059,5,No
40,1222726,303282,25,Poor,2,73.3,1,2,809826,1,No
61,1054772,399472,10,Good,0,53.7,3,29,334275,2,No
24,1340248,489581,7,Good,6,16.3,2,6,860521,1,No
32,609852,153486,13,Good,0,39.9,2,14,465335,2,No
56,1323647,460137,2,Poor,0,20.5,4,1,114260,1,No
21,1642099,411406,10,Poor,6,73.1,2,3,527940,0,No
21,687365,279561,22,Good,4,88.0,0,3,174848,6,No
47,478185,275688,6,Excellent,6,54.9,0,23,337279,1,Yes
25,1593238,421886,10,Good,0,59.9,0,4,138170,3,Yes
48,1201469,809055,15,Poor,6,27.6,3,28,686915,3,No
48,786217,432932,14,Good,3,6.0,3,21,292101,0,Yes
56,1297195,771961,10,Good,7,17.4,0,17,622835,6,Yes
45,1258532,927323,30,Excellent,6,12.0,2,22,898261,3,Yes
52,248803,83766,7,Good,5,6.8,3,27,52524,3,No
22,471464,320755,4,Average,7,13.9,5,4,261053,4,No
21,361948,40447,11,Average,5,29.0,2,3,140760,2,No
46,844917,100315,5,Good,6,33.9,5,28,33698,4,No
44,1740354,362354,27,Good,0,46.8,1,20,1376857,6,Yes
31,786590,47364,28,Good,4,17.8,1,13,258492,1,Yes
49,459215,142764,23,Average,1,53.3,3,19,70357,1,No
22,415062,117004,23,Good,5,34.8,0,4,56992,3,Yes
27,1685532,582583,14,Average,4,91.4,3,9,669477,4,No
43,1287229,678785,7,Excellent,1,92.7,4,25,733619,1,No
57,1049049,72554,25,Good,7,61.1,2,30,684247,0,Yes
24,1308649,933192,16,Poor,2,85.2,1,1,396899,6,No
49,361360,113862,30,Good,2,41.2,1,5,219283,3,Yes
56,1232207,864826,11,Good,7,36.5,1,12,713103,5,No
49,218067,77304,17,Average,6,59.1,1,10,154155,0,Yes
34,1120756,588025,22,Poor,1,44.4,1,13,328033,1,Yes
58,1274979,215649,7,Excellent,0,73.8,5,23,333815,1,No
53,1426713,414189,17,Average,2,41.6,1,11,432864,3,Yes
32,917954,293095,19,Average,5,30.7,2,14,707803,6,No
23,1540858,228038,30,Good,6,8.6,4,5,295170,6,Yes
54,731120,268968,21,Average,2,51.5,1,8,574062,2,Yes
26,1578616,316830,21,Good,4,81.2,1,4,286038,2,Yes
45,453452,229345,18,Average,4,44.0,0,6,319219,2,Yes
60,355767,245254,26,Average,3,39.2,2,9,44430,0,Yes
50,485035,227558,3,Good,6,25.8,0,8,320244,2,No
39,1304949,817925,9,Excellent,1,74.7,1,16,919975,2,Yes
63,621048,39229,3,Good,3,47.5,1,25,154412,6,No
37,1139125,51128,26,Good,2,35.6,1,4,780780,1,Yes
43,1094634,603633,1,Good,5,24.5,3,23,420322,4,No
51,712726,137498,21,Good,0,58.2,0,21,482847,5,Yes
31,759365,313463,13,Good,2,52.9,3,13,267707,1,No
41,1327815,161714,22,Average,7,51.2,4,15,353116,5,No
25,1454634,241998,22,Average,3,51.6,2,7,141955,3,Yes
41,1343490,824078,30,Average,1,34.0,1,4,920019,4,Yes
35,1336083,127920,1,Good,2,9.2,1,6,897781,4,Yes
45,1197481,551374,14,Good,4,19.9,1,4,181864,6,Yes
26,664146,443555,11,Average,0,40.1,0,8,414463,6,Yes
65,783103,47646,10,Poor,3,51.8,1,27,382886,3,No
45,1137386,428294,2,Excellent,6,50.3,1,25,143175,1,Yes
44,451830,74361,17,Average,5,50.5,0,6,150203,4,Yes
64,551233,245332,14,Good,3,31.6,1,13,212325,1,No
55,862347,333009,29,Good,7,5.9,0,28,687370,4,Yes
43,801424,167072,30,Good,3,71.2,0,17,306168,1,Yes
28,643937,432017,17,Good,1,63.2,1,9,187536,5,No
32,1466614,997768,3,Good,7,63.8,2,14,413842,1,No
61,1167471,83528,30,Good,5,37.9,3,30,101399,1,Yes
47,1493174,310771,21,Good,1,76.4,0,2,673640,6,No
51,690259,103670,12,Average,1,51.1,2,24,424157,1,Yes
49,420853,238784,30,Average,4,23.2,1,13,47427,6,Yes
56,650670,361261,22,Average,7,40.8,2,13,132385,2,No
34,1600178,758079,26,Good,1,90.9,4,16,150549,6,No
33,264080,114005,20,Excellent,0,72.9,3,15,119651,6,Yes
49,1366064,962690,21,Good,6,8.7,0,9,751748,6,Yes
30,836761,110650,3,Excellent,5,20.9,3,9,53028,5,No
39,841757,623275,29,Average,7,20.4,3,12,496567,1,Yes
59,1268477,237071,9,Excellent,1,41.8,0,16,724581,3,Yes
35,1368575,882785,19,Good,0,67.6,4,10,1027294,4,No
57,1763957,208006,6,Good,3,23.2,0,3,823203,0,Yes
65,1702196,550755,20,Average,7,18.3,1,20,609868,5,Yes
25,215634,27441,5,Average,6,81.2,2,7,63677,2,No
55,987744,95416,2,Excellent,4,27.8,1,15,70894,4,Yes
55,1289004,726033,12,Good,0,69.8,0,18,723688,6,Yes
47,1523714,916317,6,Excellent,3,51.9,3,12,743370,5,Yes
30,997052,655519,16,Average,6,13.9,1,5,88095,5,Yes
38,602381,250268,14,Good,3,5.5,2,14,337842,5,Yes
41,598815,292203,25,Good,5,39.4,0,11,456185,0,Yes
65,997563,105634,16,Excellent,6,87.5,2,21,380948,4,No
50,1569959,583080,27,Average,4,45.6,1,17,690486,4,Yes
24,415469,255387,5,Good,0,55.8,0,6,211300,3,No
38,1179430,718213,13,Average,3,93.6,4,20,163062,1,No
28,848755,150397,25,Average,2,17.2,2,10,392889,6,Yes
22,713571,42728,2,Good,0,29.3,2,4,31123,5,No
52,1788126,604023,22,Average,2,66.1,2,29,346167,1,Yes
55,1757512,129924,15,Excellent,0,69.7,3,7,1346445,6,Yes
37,1647310,288816,16,Average,4,81.8,0,16,995877,6,No
58,1195416,199236,25,Average,1,34.2,2,17,842686,2,Yes
53,373510,68593,26,Poor,7,64.3,1,11,191764,0,No
53,983940,289487,22,Poor,1,89.3,1,4,189053,6,No
21,325016,211245,20,Poor,6,88.6,2,3,257076,4,No
63,518384,337467,5,Excellent,2,74.9,3,2,360564,2,No
36,1383954,890087,25,Excellent,2,73.6,3,18,790930,6,Yes
33,880769,103597,24,Excellent,2,16.5,0,9,670100,1,Yes
59,909532,265888,8,Average,1,40.1,3,26,185006,0,Yes
28,573574,139228,16,Good,7,88.5,1,10,390307,4,No
26,603332,247273,29,Good,6,6.4,1,0,294722,5,Yes
58,528688,310318,7,Average,7,20.3,1,7,315363,4,No
21,1297862,609677,22,Good,3,59.4,1,3,924412,6,Yes
21,830024,100414,5,Good,7,39.7,1,3,110925,4,No
49,625377,39167,18,Good,2,76.2,1,21,167641,3,No
36,768315,123576,26,Poor,0,15.1,1,0,430941,0,Yes
56,1032746,35635,18,Average,3,63.9,3,12,458188,3,No
23,555960,27824,5,Excellent,4,9.8,1,5,145276,4,Yes
22,1141703,577726,17,Excellent,6,7.9,1,0,834960,2,Yes
60,644894,324897,2,Good,1,20.0,0,20,149660,6,Yes
38,1559390,406096,26,Good,4,57.3,2,7,590509,4,Yes
38,966639,261082,23,Average,6,23.4,2,20,532565,1,Yes
59,310351,211656,10,Excellent,2,63.3,3,17,239916,4,Yes
65,976184,579970,21,Average,7,63.1,0,19,601908,3,Yes
65,1298095,363224,10,Good,5,94.9,1,3,691230,6,No
64,1241716,748910,3,Poor,7,92.0,2,25,407383,3,No
49,879539,512419,20,Average,6,89.2,4,27,23885,2,No
57,974448,299422,30,Average,4,18.7,5,5,579724,5,Yes
65,968140,652959,1,Good,1,76.0,2,6,594371,4,No
49,1571405,166906,5,Excellent,1,94.6,0,4,334357,0,No
53,1303389,333496,27,Good,6,5.7,3,27,285966,1,Yes
47,423306,286464,11,Good,7,40.9,0,15,50545,4,Yes
31,1581256,1100011,30,Average,4,71.9,1,13,743446,2,Yes
59,1110370,645680,26,Excellent,5,77.5,2,29,459765,0,Yes
23,768595,267795,23,Excellent,2,90.2,1,5,227994,5,No
47,355006,61912,2,Average,0,80.0,3,10,130515,4,No
39,250119,82234,16,Average,3,55.4,1,18,142559,6,Yes
28,807835,187905,6,Good,7,12.7,1,10,258656,5,Yes
37,1372931,648529,30,Excellent,4,38.9,2,11,717515,0,Yes
51,1465016,987379,7,Good,4,75.6,1,28,747615,2,No
59,594600,388139,5,Good,1,65.8,1,6,50607,5,No
64,643547,289045,13,Excellent,6,60.0,1,2,242071,5,No
56,1638516,666864,2,Average,6,49.3,5,24,717494,0,No
56,539687,90575,18,Excellent,6,84.8,2,23,392799,3,Yes
39,1065258,318770,18,Poor,0,28.9,1,9,648099,0,Yes
37,1793325,850788,15,Good,5,49.7,2,16,1010521,5,No
42,613934,292142,25,Good,6,55.3,2,15,109636,2,Yes
23,874892,345411,23,Poor,5,43.3,3,5,575700,2,Yes
29,819341,406719,12,Good,3,10.2,2,2,53623,6,Yes
48,1351682,843655,19,Poor,0,47.3,3,22,785055,4,Yes
28,1771872,1154739,15,Good,2,23.7,1,10,552009,3,Yes
39,237993,29406,4,Average,0,52.3,1,19,164067,2,No
45,1552070,923535,4,Good,6,70.5,2,24,440952,1,No
33,742060,491773,26,Good,1,78.9,1,12,307985,5,Yes
24,574583,207111,14,Excellent,6,47.3,3,6,380733,2,No
53,1416497,581729,22,Good,1,90.4,2,15,308547,4,No
29,1283926,151194,6,Average,7,18.9,2,11,434825,5,Yes
32,1283151,229348,25,Poor,3,81.0,2,14,51611,2,No
27,1627585,438801,11,Average,1,83.2,0,7,751367,0,No
59,724897,409446,23,Good,6,88.9,2,22,425520,3,No
46,1519100,870114,7,Good,4,89.9,1,23,414433,4,No
33,319544,34345,17,Good,1,65.0,2,6,40223,3,Yes
35,1333224,262199,8,Average,0,45.6,0,17,249954,5,Yes
27,1771218,745610,21,Average,7,59.1,0,9,925098,0,Yes
44,450403,321021,22,Average,1,73.4,0,18,59704,6,Yes
46,656513,199136,7,Good,6,31.0,2,9,113006,0,No
29,366368,23332,13,Excellent,5,24.1,2,1,52491,1,Yes
25,1319664,254982,11,Excellent,2,92.8,1,5,541042,6,No
55,438517,320796,14,Excellent,6,74.9,2,12,299418,1,Yes
25,640796,59636,30,Good,2,25.2,0,7,232395,2,Yes
41,940278,584857,13,Average,1,24.8,2,23,173476,3,Yes
44,794641,89227,5,Excellent,4,14.0,0,10,262386,3,Yes
31,1392432,618650,5,Average,5,27.7,1,2,454727,3,No
44,674509,313111,1,Good,4,88.2,2,26,387826,1,No
51,277852,83517,15,Good,3,36.7,1,20,142074,2,Yes
53,1051877,112636,4,Poor,7,79.5,2,1,155237,4,No
43,325788,21506,19,Excellent,7,11.8,4,25,150446,6,Yes
23,551616,393814,4,Excellent,7,66.1,2,5,357190,4,No
42,520615,376652,26,Average,1,67.5,5,14,287591,3,Yes
65,1497191,451298,17,Good,0,35.0,3,5,410239,2,Yes
33,1745213,121989,20,Good,4,56.5,1,15,162754,6,Yes
26,739873,316986,23,Poor,6,64.2,3,8,498519,4,No
59,792297,437706,27,Average,5,47.9,1,11,221683,4,Yes
32,1645017,741639,26,Good,5,8.0,1,14,1073017,2,Yes
58,704426,150091,26,Good,3,48.9,2,14,433130,6,Yes
44,386487,271826,18,Good,3,45.6,3,15,11975,3,No
40,1245649,554516,11,Average,3,9.3,2,21,490712,5,Yes
46,615684,347629,13,Good,3,49.3,3,9,219174,6,No
60,1532144,1018565,29,Good,1,12.9,0,5,39974,5,Yes
45,1223659,858314,2,Poor,0,13.0,1,19,721581,1,Yes
38,1460617,756351,28,Good,4,35.4,2,7,647766,6,Yes
56,693317,298576,7,Poor,3,8.0,1,27,310854,5,Yes
64,1073416,323118,18,Excellent,6,76.5,1,20,702402,1,Yes
39,247411,95172,6,Good,0,60.4,3,9,188719,0,No
44,1053093,230508,29,Average,5,72.4,2,3,54959,4,Yes
33,846165,402216,30,Average,5,91.0,1,15,273838,5,Yes
49,531977,233728,23,Poor,7,68.5,4,24,423582,0,No
39,201281,99870,9,Excellent,0,60.1,3,1,148404,5,No
50,594299,376079,29,Good,0,45.3,2,16,303948,6,Yes
62,1015083,115568,2,Good,7,63.2,1,1,274568,0,No
29,911478,199594,13,Excellent,4,57.2,0,11,426696,5,Yes
34,650529,78659,28,Excellent,1,23.1,3,11,89980,4,Yes
30,728333,157200,23,Good,6,92.6,1,12,381599,6,No
50,395400,142255,21,Poor,6,85.0,2,0,313097,1,No
49,1140612,625976,2,Excellent,5,38.0,0,6,177048,1,No
62,256256,31293,16,Good,6,85.2,1,26,180902,2,Yes
46,609332,40999,25,Good,7,43.1,2,6,454037,2,Yes
36,1572488,361606,12,Average,1,34.9,0,9,506568,1,Yes
35,305438,62858,8,Good,6,14.3,1,17,64593,5,Yes
61,1480035,248062,18,Good,1,15.5,1,9,842986,4,Yes
49,1345232,496504,18,Excellent,0,20.5,3,10,834372,5,Yes
47,696409,207161,29,Poor,1,43.5,1,3,431149,0,Yes
49,944357,575512,15,Good,4,24.3,0,28,170202,4,Yes
32,1649539,1149511,16,Good,0,83.8,2,1,304236,5,No
48,446010,290669,17,Good,4,19.9,2,25,104796,6,Yes
57,1177858,702213,26,Good,7,8.8,3,26,382819,1,Yes
31,1087211,282909,23,Good,6,31.2,2,13,611022,2,Yes
34,1473590,475683,22,Good,7,64.1,0,8,888292,4,No
40,563100,412262,21,Average,7,48.6,4,18,350404,6,No
56,1191967,699729,19,Good,3,70.3,2,10,800163,3,Yes
37,1054631,708746,25,Good,5,46.9,1,19,222488,1,Yes
54,274018,176013,6,Good,6,27.8,1,6,57872,1,No
54,1003346,444649,6,Good,0,62.4,4,23,479462,3,No
32,354023,90445,17,Average,1,46.8,3,13,38465,3,Yes
30,465711,331430,15,Good,4,7.6,2,12,252831,3,Yes
39,837911,28170,21,Average,7,6.3,1,21,447502,0,Yes
21,412601,142342,19,Poor,5,71.3,1,3,275150,6,No
30,1471210,628724,5,Poor,1,39.2,1,12,764853,5,No
29,1787828,724379,12,Poor,5,57.0,2,7,1011070,5,No
57,1022210,157320,29,Good,6,14.6,2,7,20673,6,Yes
44,496205,353360,23,Excellent,0,41.2,4,5,183777,3,Yes
21,881692,343911,7,Average,6,53.3,1,3,113915,1,No
63,1157022,50027,29,Excellent,4,15.7,2,21,169171,4,Yes
49,471126,42600,25,Good,2,70.0,0,20,289454,4,Yes
53,386846,142380,11,Good,0,21.1,1,2,15047,1,No
60,1273512,411976,26,Good,4,58.0,1,15,833663,5,Yes
23,1693641,502025,16,Average,6,16.5,2,5,712458,3,Yes
63,676507,68783,7,Excellent,6,8.2,3,11,371612,4,Yes
46,526130,319345,20,Excellent,0,71.2,1,21,54227,6,Yes
48,1728229,998888,11,Average,2,84.1,2,0,224826,1,No
40,1044690,725124,6,Average,7,75.5,1,3,183787,2,No
57,804771,397448,4,Average,7,22.0,0,25,218517,5,No
50,808138,183063,4,Good,1,24.0,1,5,478372,0,Yes
52,973853,343912,29,Poor,1,57.0,0,2,639082,1,Yes
48,1706322,919377,21,Average,7,78.2,1,20,607725,6,Yes
48,1353057,718438,21,Good,1,82.6,1,21,234536,6,Yes
32,272601,115262,3,Good,4,23.1,1,3,166446,6,No
43,1696450,1184518,19,Poor,3,40.2,3,9,119991,4,No
41,297235,132794,14,Average,5,21.1,1,15,40677,3,Yes
44,330023,244606,6,Good,0,86.4,1,23,187219,3,No
59,1569330,928629,19,Excellent,4,33.1,2,12,757959,0,Yes
53,1763246,201517,18,Poor,7,74.9,1,21,503274,2,No
48,741931,421957,29,Poor,3,57.5,0,11,325441,2,Yes
43,1710814,834793,22,Good,1,46.6,0,0,984770,0,Yes
65,382416,134396,17,Excellent,7,93.3,1,20,84082,0,No
53,1306798,241184,15,Poor,2,49.6,0,9,79501,6,No
45,405049,240916,17,Excellent,6,13.5,4,20,311812,1,Yes
40,1782029,729932,24,Average,0,81.8,0,4,423238,4,No
25,774305,466155,13,Excellent,4,50.6,3,7,298450,4,No
52,1590822,880137,11,Good,7,27.1,1,4,398245,4,No
35,470998,333164,24,Average,0,35.6,2,12,48160,6,Yes
21,640244,365609,28,Good,2,84.0,3,3,254708,2,No
27,1146920,791602,30,Poor,3,78.7,2,9,68706,2,No
41,1641331,1116020,20,Good,2,88.6,1,19,1080495,1,Yes
28,1366464,169388,11,Good,0,82.2,1,10,313010,1,Yes
30,464334,138902,13,Good,0,34.5,1,3,111114,2,Yes
43,808419,219635,22,Average,6,55.9,3,12,91251,4,No
31,1348839,99637,5,Good,7,82.2,1,9,604940,3,No
59,1677618,934168,17,Good,7,29.7,0,25,1267044,3,Yes
42,1741588,155991,19,Excellent,0,82.3,2,6,1114695,3,Yes
58,1614904,432801,21,Excellent,1,31.7,0,25,515189,2,Yes
63,250202,157939,2,Excellent,7,66.6,2,1,84722,2,No
48,610634,140956,27,Good,7,20.1,2,25,367342,6,Yes
37,1410746,209542,15,Average,5,26.4,2,7,121525,3,No
52,688679,323791,3,Good,3,84.6,4,22,172653,4,No
51,1065296,37084,29,Good,4,60.6,2,18,153177,3,Yes
38,513569,383112,14,Average,7,66.1,3,20,328538,5,No
22,1007424,54353,15,Good,3,63.6,3,4,768152,5,No
25,213691,21602,1,Poor,3,68.9,2,4,88959,0,No
34,856296,577521,12,Good,3,61.8,3,0,211288,5,No
33,496456,180683,5,Average,6,77.0,3,15,266101,2,No
37,1161883,250881,16,Excellent,1,39.0,1,3,161572,0,Yes
54,1736396,473800,20,Good,7,93.5,0,0,854815,1,No
60,1507176,713582,9,Good,0,14.7,1,22,1148998,0,Yes
56,491478,329534,3,Excellent,6,66.4,2,25,301022,4,No
22,399780,133908,8,Poor,7,81.4,1,4,16733,0,No
34,1513572,1108450,23,Good,6,32.9,4,10,1149292,3,Yes
47,397029,160474,28,Average,4,31.2,0,0,317228,1,Yes
49,1089711,353415,20,Good,5,39.6,3,6,714871,4,Yes
64,459067,15471,17,Excellent,5,11.2,0,19,67084,2,Yes
59,1365111,633109,2,Average,2,27.4,2,17,87076,1,No
58,198752,85455,5,Good,5,76.3,1,11,6721,2,No
21,1430632,72081,7,Average,7,29.0,1,0,484178,6,No
36,602955,307553,25,Average,0,22.0,3,17,479408,5,Yes
33,1040952,415510,26,Average,1,38.2,3,15,265251,0,Yes
59,601486,426233,4,Good,1,66.8,1,22,464840,2,No
31,1328993,800089,4,Good,2,20.8,1,13,972758,3,Yes
28,342982,113006,12,Average,2,43.7,1,10,47165,2,Yes
64,827341,505394,9,Excellent,7,42.5,1,24,604828,4,Yes
40,1158836,146278,23,Average,2,47.1,3,21,325599,4,Yes
21,767100,190708,27,Good,1,27.2,2,3,290083,5,Yes
30,1364141,492385,5,Average,2,55.2,2,1,561487,2,No
53,328066,96267,24,Excellent,6,66.9,4,25,82804,6,Yes
34,1172382,723358,7,Average,5,86.6,2,16,820913,0,No
49,278538,144824,15,Excellent,4,38.1,3,16,170903,4,No
35,1022150,197534,2,Good,0,49.9,2,11,446677,2,No
63,1324241,150043,1,Average,6,43.5,1,14,752685,5,No
34,350963,208961,11,Poor,1,60.1,5,16,270023,2,No
29,1431703,241189,28,Average,2,56.8,2,7,515761,5,Yes
56,994037,195710,4,Good,0,74.4,3,8,25828,2,No
47,1435516,406681,18,Good,4,39.5,6,19,1137971,6,No
60,1706658,1069241,8,Good,4,17.2,0,2,1238996,0,Yes
36,1521775,269199,2,Poor,2,29.4,1,18,908867,6,No
28,684409,128798,3,Average,4,16.5,1,7,45421,6,No
62,1333976,692365,25,Excellent,4,14.0,2,21,869930,6,Yes
62,1030538,98230,2,Excellent,7,11.8,2,10,91858,0,No
57,928013,178105,12,Good,7,56.4,2,4,92511,1,No
28,1156089,644703,23,Poor,7,69.5,2,10,158712,4,No
55,721357,419047,1,Average,4,67.6,1,22,230334,1,No
62,1302437,920236,12,Good,5,41.8,5,2,841210,2,No
33,521207,21103,22,Good,6,18.9,1,15,169301,6,Yes
48,235147,59911,29,Excellent,7,78.4,3,8,139899,1,Yes
38,233072,146161,29,Poor,2,74.7,2,0,119624,4,No
35,508768,166799,14,Good,7,16.9,2,17,22109,6,Yes
22,385768,167140,13,Excellent,3,70.2,0,4,157454,2,Yes
59,957881,654778,1,Good,3,14.7,2,28,139954,3,Yes
33,266365,178464,27,Excellent,3,65.1,3,15,149739,1,Yes
62,708714,364955,16,Average,1,36.8,1,25,517800,0,Yes
55,726495,24622,22,Good,5,61.2,0,21,438800,4,Yes
54,1428351,438514,4,Average,0,74.9,2,9,1025843,2,No
33,264754,66459,27,Good,1,38.0,1,15,15513,4,Yes
22,1697740,308714,5,Good,0,44.9,2,4,1112650,2,No
65,1750057,372093,4,Good,3,81.4,2,26,650873,4,No
40,364456,80734,4,Average,0,72.3,1,7,138580,2,No
41,462017,167269,17,Poor,6,39.0,4,3,363786,2,No
58,758526,201573,10,Good,0,11.8,3,14,422604,3,Yes
46,963441,445305,23,Poor,1,45.6,1,17,429229,0,No
35,320905,210551,14,Average,4,27.4,3,15,200942,1,Yes
31,1514809,389163,9,Good,3,94.3,1,13,205979,2,No
48,811040,145666,20,Excellent,2,89.3,5,2,293437,5,No
54,652501,199999,13,Excellent,0,66.1,4,27,261691,2,Yes
45,1015036,472970,7,Poor,5,71.7,1,27,446268,2,No
41,408981,92178,5,Good,7,9.0,4,17,318778,1,No
37,785842,237507,19,Good,5,8.6,1,14,526624,5,Yes
61,1485487,1094916,11,Average,6,34.6,0,15,471239,3,Yes
57,1423294,279211,27,Good,3,8.0,0,14,1074800,5,Yes
21,359830,153117,6,Good,2,51.6,0,3,146018,1,No
46,273269,47518,4,Excellent,2,66.8,0,2,54628,3,No
57,1654764,1205610,10,Average,6,51.8,3,23,1085830,2,No
21,324539,141367,18,Average,7,60.4,1,3,72894,3,No
36,719570,311410,4,Good,4,72.5,2,11,151517,2,No
55,298413,207808,8,Good,5,59.3,4,5,141528,3,No
38,1319929,832750,26,Good,1,89.3,3,3,811883,5,No
48,1111479,558362,22,Excellent,7,89.3,2,17,338179,3,Yes
40,1045139,510768,23,Excellent,3,26.8,0,12,265925,1,Yes
40,771343,313823,19,Good,3,53.5,3,22,452061,0,No
37,447491,55843,1,Average,0,62.8,1,19,79212,1,No
24,1406408,696949,5,Excellent,3,48.3,2,6,121647,0,No
53,1177082,94068,19,Good,4,14.0,1,15,468041,0,Yes
24,922296,133270,2,Good,0,49.8,3,6,603998,0,No
53,667030,80224,15,Good,6,36.9,0,7,171551,1,Yes
30,403563,152854,8,Good,5,52.2,1,5,295536,6,No
48,1635465,1020280,27,Average,0,79.2,4,8,199565,1,No
44,1284002,685385,17,Excellent,7,92.6,1,19,209387,0,Yes
49,201253,142100,28,Good,1,40.4,4,26,103822,2,Yes
34,610267,248005,12,Good,3,30.8,1,16,111857,4,Yes
64,1727261,398115,23,Good,5,81.0,0,1,432753,0,Yes
45,1424289,757112,27,Good,0,36.6,1,27,681708,6,Yes
23,1377162,701957,12,Average,4,70.3,2,4,644428,5,No
33,1252358,321615,25,Average,4,14.4,2,6,733614,1,Yes
28,292990,148543,4,Poor,3,90.4,1,10,24357,3,No
59,197633,27217,13,Good,0,78.6,4,1,153318,3,No
53,348785,79658,23,Good,1,92.9,4,14,230410,5,No
64,985113,377644,8,Average,6,28.6,1,22,656145,5,Yes
33,240545,165732,10,Good,0,47.9,0,12,28752,0,Yes
28,1564490,47433,29,Good,1,14.0,2,10,942922,6,Yes
